race,age
white,55
black,46
black,41
hispanic,51
white,51
other,44
white,48
asians,49
other,42
asians,43
hispanic,52
hispanic,38
white,50
black,56
black,50
black,50
hispanic,46
black,57
black,45
black,46
black,45
white,55
hispanic,42
hispanic,53
white,54
white,39
black,58
other,50
white,53
hispanic,50
hispanic,48
white,58
white,55
white,52
white,56
hispanic,42
black,50
black,47
white,40
white,56
white,45
white,45
white,55
black,36
other,46
hispanic,57
white,48
hispanic,49
white,51
white,44
white,53
asians,44
white,46
white,55
white,43
white,51
white,44
asians,40
black,42
white,43
black,53
other,51
hispanic,52
hispanic,59
hispanic,50
white,61
hispanic,58
white,52
white,45
white,48
white,52
hispanic,47
black,59
black,43
hispanic,55
hispanic,53
black,49
white,46
white,49
hispanic,53
hispanic,46
white,51
hispanic,40
black,49
hispanic,54
white,46
white,55
black,42
black,51
white,46
asians,54
white,49
hispanic,53
white,51
white,50
white,41
hispanic,45
hispanic,57
white,52
white,50
black,45
white,41
white,55
black,52
asians,44
white,55
white,50
black,43
hispanic,50
hispanic,55
black,60
white,52
white,36
asians,51
hispanic,52
white,52
white,46
black,52
white,54
white,39
hispanic,48
black,53
hispanic,43
other,52
white,49
other,46
white,40
hispanic,51
black,63
hispanic,55
white,48
black,45
hispanic,47
hispanic,51
white,45
black,48
hispanic,48
white,35
white,39
hispanic,51
white,41
white,51
white,40
white,51
white,44
other,52
other,44
white,44
other,43
asians,47
hispanic,55
hispanic,45
hispanic,43
black,59
black,41
white,45
white,41
white,49
white,46
white,43
other,39
white,45
white,39
white,56
white,51
black,40
hispanic,49
hispanic,48
black,51
white,46
white,47
black,49
white,54
hispanic,47
white,43
white,46
black,53
white,43
white,61
white,54
asians,56
hispanic,50
black,40
white,45
black,42
black,48
white,43
other,51
hispanic,40
white,41
white,50
hispanic,50
white,48
white,55
white,44
white,58
hispanic,52
white,48
white,55
black,43
hispanic,42
white,49
black,47
white,51
other,46
white,53
black,38
white,45
white,46
other,51
black,49
hispanic,52
white,44
white,51
white,43
white,44
hispanic,51
hispanic,48
white,53
black,51
hispanic,49
white,55
black,48
hispanic,43
white,58
white,41
hispanic,53
hispanic,46
hispanic,40
hispanic,49
white,56
hispanic,42
white,53
hispanic,55
white,49
white,59
white,41
hispanic,47
white,43
white,54
hispanic,40
white,48
hispanic,44
other,53
hispanic,46
white,53
other,51
white,49
white,44
white,58
white,46
black,42
white,47
black,49
white,36
hispanic,43
white,53
white,41
black,46
white,39
white,52
other,46
hispanic,46
black,47
white,48
white,45
black,46
white,41
black,42
white,36
white,52
asians,53
white,47
white,41
black,46
hispanic,38
white,48
black,62
white,41
white,46
white,47
black,52
white,52
white,45
white,53
hispanic,53
white,48
white,42
black,50
white,52
white,47
hispanic,47
white,48
white,44
asians,51
black,48
hispanic,52
asians,44
white,50
asians,51
hispanic,46
white,50
hispanic,49
white,48
black,48
white,51
white,54
hispanic,52
white,41
white,56
white,51
white,43
white,52
white,48
white,50
white,37
white,39
hispanic,54
white,42
hispanic,47
white,53
white,48
white,41
other,46
white,38
hispanic,38
hispanic,50
white,42
black,46
white,54
other,41
hispanic,52
black,51
white,48
white,52
white,49
white,45
white,48
other,43
black,61
white,42
white,46
other,53
white,46
white,49
hispanic,52
white,44
hispanic,54
hispanic,47
white,44
white,48
hispanic,46
white,50
hispanic,53
black,33
black,61
white,44
black,37
hispanic,49
white,50
black,47
hispanic,53
white,43
white,49
white,45
black,49
black,53
white,42
hispanic,46
black,47
black,40
white,47
white,49
other,45
asians,39
white,47
hispanic,56
other,46
hispanic,50
white,45
white,51
white,57
white,49
hispanic,46
black,62
hispanic,57
white,44
white,39
white,46
hispanic,56
hispanic,56
asians,43
hispanic,49
white,54
white,45
asians,55
white,42
asians,38
asians,40
black,45
hispanic,49
black,52
white,46
white,47
black,58
black,52
hispanic,44
black,48
asians,49
white,45
other,51
other,43
white,50
white,43
white,46
white,49
white,56
white,47
white,48
hispanic,49
hispanic,45
other,47
hispanic,61
black,39
black,38
white,44
black,49
asians,49
white,57
hispanic,46
hispanic,51
white,40
black,51
white,48
hispanic,42
other,49
black,36
hispanic,47
black,45
asians,41
hispanic,54
hispanic,51
black,48
hispanic,45
white,45
white,48
white,50
white,44
white,52
white,49
hispanic,49
other,49
hispanic,48
white,40
white,48
white,47
black,50
white,40
white,47
asians,53
hispanic,48
white,52
white,49
black,59
white,43
black,43
white,47
hispanic,42
hispanic,43
white,40
white,49
white,50
black,50
black,51
black,46
white,53
white,53
white,50
white,44
hispanic,57
white,46
white,46
white,46
black,41
white,47
black,54
black,52
hispanic,55
white,55
white,59
white,51
white,50
white,41
other,47
black,42
white,36
white,48
white,56
white,55
asians,51
white,45
white,57
other,47
white,44
black,51
other,37
other,49
black,42
white,32
white,46
white,39
white,62
asians,41
black,43
black,46
black,49
white,50
hispanic,53
other,49
white,46
hispanic,41
white,46
black,41
black,52
white,45
white,40
white,59
white,47
white,52
white,55
white,49
black,52
hispanic,53
white,51
white,43
asians,55
white,52
white,51
black,48
black,50
hispanic,51
hispanic,46
white,45
white,47
white,49
white,46
white,37
black,48
white,53
hispanic,40
black,52
white,57
other,46
hispanic,52
hispanic,46
white,51
white,48
white,47
other,48
hispanic,52
white,43
asians,51
